iter	Passed	Remaining
0	146	146540
1	147	73478
2	147	49090
3	148	36887
4	148	29569
5	149	24689
6	149	21204
7	149	18588
8	150	16555
9	150	14927
10	151	13596
11	151	12486
12	152	11547
13	152	10743
14	152	10046
15	153	9434
16	153	8897
17	154	8417
18	154	7988
19	155	7601
20	155	7252
21	156	6935
22	156	6644
23	156	6378
24	157	6133
25	157	5908
26	158	5702
27	158	5509
28	159	5329
29	159	5160
30	160	5001
31	160	4853
32	160	4714
33	161	4582
34	161	4458
35	162	4341
36	162	4230
37	163	4126
38	163	4026
39	163	3932
40	164	3842
41	164	3756
42	165	3674
43	165	3596
44	165	3521
45	166	3450
46	166	3382
47	167	3317
48	167	3254
49	168	3194
50	168	3136
51	169	3082
52	169	3029
53	170	2978
54	170	2929
55	170	2881
56	171	2834
57	171	2789
58	172	2746
59	172	2704
60	173	2663
61	173	2624
62	173	2586
63	174	2549
64	174	2513
65	175	2479
66	175	2447
67	175	2412
68	176	2380
69	176	2349
70	177	2319
71	177	2290
72	178	2261
73	178	2233
74	178	2206
75	179	2180
76	179	2155
77	180	2129
78	180	2106
79	181	2082
80	181	2060
81	182	2038
82	182	2016
83	182	1995
84	183	1972
85	183	1952
86	184	1931
87	184	1911
88	184	1892
89	185	1874
90	185	1856
91	186	1838
92	186	1821
93	187	1804
94	187	1787
95	188	1771
96	188	1755
97	189	1740
98	189	1725
99	190	1710
100	190	1695
101	190	1679
102	191	1665
103	191	1650
104	192	1636
105	192	1623
106	193	1611
107	193	1598
108	194	1586
109	194	1573
110	194	1560
111	195	1548
112	195	1536
113	196	1524
114	196	1512
115	196	1500
116	197	1489
117	197	1478
118	198	1467
119	198	1456
120	199	1445
121	199	1435
122	199	1423
123	200	1413
124	200	1403
125	200	1393
126	201	1384
127	201	1374
128	202	1365
129	202	1356
130	203	1347
131	203	1338
132	203	1329
133	204	1321
134	204	1313
135	205	1304
136	205	1297
137	206	1288
138	206	1281
139	207	1273
140	207	1265
141	208	1257
142	208	1250
143	209	1242
144	209	1235
145	210	1229
146	210	1222
147	211	1215
148	211	1209
149	212	1202
150	212	1196
151	213	1189
152	213	1183
153	214	1176
154	214	1170
155	215	1163
156	215	1157
157	216	1151
158	216	1145
159	217	1139
160	217	1134
161	218	1128
162	218	1122
163	219	1117
164	219	1111
165	220	1106
166	220	1101
167	221	1095
168	221	1089
169	222	1084
170	222	1078
171	222	1073
172	223	1067
173	223	1062
174	224	1057
175	224	1052
176	225	1046
177	225	1041
178	226	1036
179	226	1031
180	226	1025
181	227	1020
182	227	1015
183	227	1011
184	228	1006
185	229	1002
186	229	997
187	230	994
188	230	990
189	231	985
190	231	980
191	232	976
192	232	971
193	232	967
194	233	963
195	233	959
196	234	954
197	234	950
198	235	946
199	235	942
200	235	937
201	236	933
202	236	929
203	237	925
204	237	921
205	238	917
206	238	914
207	239	910
208	239	906
209	239	902
210	240	899
211	241	896
212	241	892
213	242	889
214	242	885
215	242	881
216	243	878
217	243	874
218	244	870
219	244	867
220	245	863
221	245	860
222	245	856
223	246	853
224	246	850
225	247	846
226	247	843
227	248	840
228	248	836
229	248	833
230	249	830
231	249	826
232	250	823
233	250	820
234	251	817
235	251	814
236	251	811
237	252	808
238	252	805
239	253	802
240	253	799
241	254	796
242	254	793
243	255	790
244	255	787
245	255	784
246	256	781
247	256	778
248	257	775
249	257	773
250	258	770
251	258	767
252	258	764
253	259	761
254	259	759
255	260	756
256	260	753
257	261	750
258	261	748
259	261	745
260	262	742
261	262	740
262	263	737
263	263	734
264	264	732
265	264	730
266	265	727
267	265	725
268	266	722
269	266	720
270	266	717
271	267	715
272	267	712
273	268	710
274	268	708
275	269	705
276	269	703
277	269	700
278	270	698
279	270	696
280	271	693
281	271	691
282	271	689
283	272	686
284	272	684
285	273	682
286	273	680
287	274	677
288	274	675
289	275	673
290	275	671
291	276	669
292	276	667
293	277	665
294	277	663
295	277	661
296	278	658
297	278	656
298	279	654
299	279	652
300	280	650
301	280	648
302	280	646
303	281	644
304	281	642
305	282	640
306	282	638
307	283	636
308	283	634
309	284	632
310	284	631
311	285	629
312	285	627
313	286	625
314	286	624
315	287	622
316	288	620
317	288	618
318	289	617
319	289	615
320	289	613
321	290	611
322	290	609
323	291	608
324	291	606
325	292	604
326	292	602
327	293	600
328	293	598
329	294	597
330	294	595
331	294	593
332	295	591
333	295	589
334	296	588
335	296	586
336	297	584
337	297	582
338	298	581
339	298	579
340	298	577
341	299	575
342	299	574
343	300	572
344	300	571
345	301	569
346	301	568
347	302	566
348	302	564
349	303	563
350	303	561
351	304	560
352	304	558
353	305	556
354	305	555
355	306	553
356	306	552
357	307	550
358	307	549
359	307	547
360	308	545
361	308	544
362	309	542
363	309	541
364	310	539
365	310	538
366	311	536
367	311	535
368	312	534
369	312	532
370	313	531
371	313	529
372	314	528
373	314	526
374	315	525
375	315	523
376	316	522
377	316	520
378	317	519
379	317	517
380	317	516
381	318	515
382	318	513
383	319	512
384	319	510
385	320	509
386	320	508
387	321	506
388	321	505
389	322	504
390	322	502
391	323	501
392	323	500
393	324	498
394	324	497
395	325	496
396	325	494
397	326	493
398	326	491
399	327	490
400	327	489
401	327	487
402	328	486
403	328	485
404	329	483
405	329	482
406	330	480
407	330	479
408	330	478
409	331	476
410	331	475
411	332	474
412	332	472
413	333	471
414	333	470
415	333	468
416	334	467
417	334	466
418	335	464
419	335	463
420	336	462
421	336	461
422	337	460
423	337	458
424	338	457
425	338	456
426	338	454
427	339	453
428	339	452
429	340	451
430	340	449
431	341	448
432	341	447
433	341	445
434	342	444
435	342	443
436	343	442
437	343	440
438	344	439
439	344	438
440	345	437
441	345	436
442	345	434
443	346	433
444	346	432
445	347	431
446	347	430
447	348	429
448	348	427
449	349	426
450	349	425
451	350	424
452	350	423
453	350	422
454	351	420
455	351	419
456	352	418
457	352	417
458	353	416
459	353	415
460	354	413
461	354	412
462	354	411
463	355	410
464	355	409
465	356	408
466	356	407
467	357	405
468	357	404
469	357	403
470	358	402
471	358	401
472	359	400
473	359	399
474	360	398
475	360	396
476	361	395
477	361	394
478	361	393
479	362	392
480	362	391
481	363	390
482	363	389
483	364	388
484	364	387
485	365	386
486	365	385
487	366	384
488	366	383
489	367	381
490	367	380
491	367	379
492	368	378
493	368	377
494	369	376
495	369	375
496	369	374
497	370	373
498	370	372
499	371	371
500	371	370
501	372	369
502	372	368
503	373	367
504	373	366
505	374	365
506	374	364
507	375	363
508	375	362
509	376	361
510	376	360
511	377	359
512	377	358
513	377	357
514	378	356
515	379	356
516	380	355
517	380	354
518	381	353
519	381	352
520	382	351
521	382	350
522	382	349
523	383	348
524	383	347
525	384	346
526	384	345
527	385	344
528	385	343
529	385	342
530	386	341
531	386	340
532	387	339
533	387	338
534	388	337
535	388	336
536	388	335
537	389	334
538	389	333
539	390	332
540	390	331
541	391	330
542	391	329
543	392	328
544	392	327
545	393	326
546	393	325
547	393	324
548	394	323
549	394	322
550	395	321
551	395	321
552	395	320
553	396	319
554	396	318
555	397	317
556	397	316
557	398	315
558	398	314
559	399	313
560	399	312
561	399	311
562	400	310
563	400	309
564	401	308
565	401	307
566	401	306
567	402	306
568	402	305
569	403	304
570	403	303
571	404	302
572	404	301
573	405	300
574	405	299
575	405	298
576	406	297
577	406	297
578	407	296
579	407	295
580	408	294
581	408	293
582	409	292
583	409	291
584	409	290
585	410	289
586	410	289
587	411	288
588	411	287
589	412	286
590	412	285
591	412	284
592	413	283
593	413	282
594	414	281
595	414	281
596	415	280
597	415	279
598	415	278
599	416	277
600	416	276
601	417	275
602	417	275
603	418	274
604	418	273
605	419	272
606	419	271
607	419	270
608	420	269
609	420	268
610	421	268
611	421	267
612	421	266
613	422	265
614	422	264
615	423	263
616	423	262
617	424	262
618	424	261
619	425	260
620	425	259
621	425	258
622	426	258
623	427	257
624	427	256
625	427	255
626	428	254
627	428	253
628	429	253
629	429	252
630	429	251
631	430	250
632	430	249
633	431	248
634	431	248
635	432	247
636	432	246
637	432	245
638	433	244
639	433	244
640	434	243
641	434	242
642	435	241
643	435	240
644	436	240
645	436	239
646	437	238
647	437	237
648	437	236
649	438	236
650	438	235
651	439	234
652	439	233
653	440	232
654	440	232
655	441	231
656	441	230
657	441	229
658	442	228
659	442	228
660	443	227
661	443	226
662	444	225
663	444	224
664	445	224
665	445	223
666	445	222
667	446	221
668	446	221
669	447	220
670	447	219
671	448	218
672	448	217
673	448	217
674	449	216
675	449	215
676	450	214
677	450	214
678	451	213
679	451	212
680	452	211
681	452	211
682	453	210
683	453	209
684	453	208
685	454	207
686	455	207
687	455	206
688	455	205
689	456	205
690	456	204
691	457	203
692	457	202
693	458	201
694	458	201
695	458	200
696	459	199
697	459	198
698	460	198
699	460	197
700	461	196
701	461	195
702	462	195
703	462	194
704	463	193
705	463	192
706	463	192
707	464	191
708	464	190
709	465	190
710	465	189
711	466	188
712	466	187
713	467	187
714	467	186
715	468	185
716	468	184
717	469	184
718	469	183
719	470	182
720	470	182
721	471	181
722	471	180
723	472	180
724	472	179
725	473	178
726	473	177
727	473	177
728	474	176
729	475	175
730	475	174
731	476	174
732	476	173
733	476	172
734	477	172
735	477	171
736	478	170
737	478	170
738	479	169
739	479	168
740	480	167
741	480	167
742	481	166
743	481	165
744	482	165
745	482	164
746	483	163
747	483	162
748	484	162
749	484	161
750	485	160
751	485	160
752	486	159
753	486	158
754	487	158
755	487	157
756	488	156
757	488	156
758	489	155
759	489	154
760	490	153
761	490	153
762	491	152
763	491	151
764	491	151
765	492	150
766	492	149
767	493	148
768	493	148
769	494	147
770	494	146
771	494	146
772	495	145
773	495	144
774	496	144
775	496	143
776	497	142
777	497	142
778	498	141
779	498	140
780	498	139
781	499	139
782	499	138
783	500	137
784	500	137
785	501	136
786	501	135
787	501	135
788	502	134
789	502	133
790	503	133
791	503	132
792	504	131
793	504	130
794	505	130
795	505	129
796	506	128
797	506	128
798	506	127
799	507	126
800	507	126
801	508	125
