iter	Passed	Remaining
0	136	136016
1	136	68157
2	137	45537
3	137	34222
4	137	27435
5	138	22908
6	138	19675
7	139	17250
8	139	15364
9	139	13855
10	140	12625
11	140	11601
12	141	10730
13	141	9983
14	142	9336
15	142	8769
16	143	8269
17	143	7823
18	143	7425
19	144	7067
20	144	6743
21	145	6449
22	145	6180
23	145	5934
24	146	5707
25	146	5497
26	147	5302
27	147	5122
28	147	4954
29	148	4798
30	148	4651
31	149	4514
32	149	4385
33	150	4263
34	150	4149
35	150	4041
36	151	3939
37	151	3842
38	152	3750
39	152	3662
40	153	3579
41	153	3500
42	153	3424
43	154	3352
44	154	3283
45	155	3217
46	155	3153
47	155	3093
48	156	3035
49	156	2979
50	157	2925
51	157	2873
52	158	2823
53	158	2776
54	158	2729
55	159	2685
56	159	2642
57	160	2601
58	160	2561
59	161	2522
60	161	2484
61	161	2448
62	162	2413
63	162	2379
64	163	2346
65	163	2316
66	164	2285
67	164	2255
68	164	2225
69	165	2196
70	165	2169
71	166	2142
72	166	2115
73	167	2090
74	167	2065
75	167	2041
76	168	2017
77	168	1994
78	169	1971
79	169	1949
80	169	1928
81	170	1907
82	170	1884
83	171	1864
84	171	1845
85	171	1826
86	172	1807
87	172	1789
88	173	1771
89	173	1754
90	173	1737
91	174	1720
92	174	1704
93	175	1689
94	175	1674
95	176	1658
96	176	1643
97	177	1629
98	177	1615
99	177	1601
100	178	1587
101	178	1573
102	179	1560
103	179	1547
104	179	1534
105	180	1521
106	180	1509
107	181	1496
108	181	1485
109	182	1473
110	182	1461
111	182	1450
112	183	1439
113	183	1428
114	184	1417
115	184	1407
116	185	1396
117	185	1385
118	185	1376
119	186	1366
120	186	1356
121	187	1346
122	187	1336
123	187	1327
124	188	1318
125	188	1309
126	189	1299
127	189	1291
128	189	1282
129	190	1273
130	190	1265
131	191	1256
132	191	1248
133	191	1240
134	192	1232
135	192	1225
136	193	1217
137	193	1209
138	194	1202
139	194	1194
140	194	1187
141	195	1180
142	195	1173
143	196	1165
144	196	1159
145	196	1152
146	197	1145
147	197	1138
148	198	1132
149	198	1125
150	199	1119
151	199	1113
152	199	1106
153	200	1100
154	200	1094
155	201	1088
156	201	1082
157	202	1076
158	202	1071
159	202	1065
160	203	1059
161	203	1053
162	204	1048
163	204	1042
164	204	1037
165	205	1031
166	205	1026
167	206	1021
168	206	1015
169	207	1010
170	207	1005
171	207	1000
172	208	995
173	208	990
174	209	985
175	209	980
176	209	976
177	210	971
178	210	966
179	211	962
180	211	957
181	212	953
182	212	948
183	212	944
184	213	939
185	213	935
186	214	931
187	214	926
188	214	922
189	215	918
190	215	914
191	216	910
192	216	906
193	217	901
194	217	897
195	217	893
196	218	890
197	218	886
198	219	882
199	219	878
200	220	874
201	220	870
202	220	867
203	221	863
204	221	859
205	222	856
206	222	852
207	223	849
208	223	845
209	223	842
210	224	838
211	224	835
212	225	831
213	225	828
214	225	825
215	226	821
216	226	818
217	227	815
218	227	811
219	228	808
220	228	805
221	228	802
222	229	799
223	229	796
224	230	792
225	230	790
226	231	787
227	231	784
228	232	781
229	232	778
230	233	775
231	233	773
232	234	770
233	234	767
234	234	764
235	235	761
236	235	759
237	236	756
238	236	753
239	237	751
240	237	748
241	238	745
242	238	743
243	239	740
244	239	737
245	239	735
246	240	732
247	240	730
248	241	727
249	241	724
250	242	722
251	242	719
252	242	716
253	243	714
254	243	711
255	244	709
256	244	706
257	244	704
258	245	702
259	245	699
260	246	697
261	246	694
262	247	692
263	247	690
264	248	687
265	248	685
266	249	683
267	249	681
268	249	678
269	250	676
270	250	674
271	251	672
272	251	670
273	252	667
274	252	665
275	252	663
276	253	661
277	253	658
278	254	656
279	254	654
280	254	652
281	255	650
282	255	648
283	256	645
284	256	643
285	257	641
286	257	639
287	257	637
288	258	635
289	258	633
290	259	631
291	259	629
292	260	627
293	260	626
294	261	624
295	261	621
296	261	619
297	262	618
298	262	616
299	263	614
300	263	612
301	264	610
302	264	608
303	265	606
304	265	605
305	266	603
306	266	601
307	266	599
308	267	597
309	267	595
310	268	593
311	268	592
312	268	590
313	269	588
314	269	586
315	270	584
316	270	583
317	271	581
318	271	579
319	272	578
320	272	576
321	273	575
322	273	573
323	274	571
324	274	570
325	274	568
326	275	566
327	275	564
328	276	563
329	276	561
330	277	559
331	277	558
332	277	556
333	278	554
334	278	553
335	279	551
336	279	549
337	279	548
338	280	546
339	280	544
340	281	543
341	281	541
342	282	540
343	282	538
344	283	537
345	283	536
346	284	534
347	284	533
348	285	531
349	285	530
350	286	529
351	286	527
352	287	526
353	287	524
354	287	523
355	288	521
356	288	520
357	289	518
358	289	517
359	290	515
360	290	514
361	290	512
362	291	511
363	291	509
364	292	508
365	292	506
366	293	505
367	293	504
368	293	502
369	294	501
370	294	499
371	295	498
372	295	497
373	296	495
374	296	494
375	297	493
376	297	491
377	298	490
378	298	488
379	298	487
380	299	486
381	299	484
382	300	483
383	300	482
384	301	481
385	301	479
386	301	478
387	302	477
388	302	475
389	303	474
390	303	473
391	304	471
392	304	470
393	304	469
394	305	467
395	305	466
396	306	465
397	306	463
398	307	462
399	307	461
400	308	460
401	308	459
402	309	457
403	309	456
404	309	455
405	310	454
406	310	452
407	311	451
408	311	450
409	312	449
410	312	447
411	312	446
412	313	445
413	313	444
414	314	442
415	314	441
416	315	440
417	315	439
418	315	438
419	316	436
420	316	435
421	317	434
422	317	433
423	318	432
424	318	431
425	319	430
426	319	429
427	320	428
428	320	427
429	321	426
430	321	424
431	322	423
432	322	422
433	323	421
434	323	420
435	324	419
436	324	418
437	324	416
438	325	415
439	325	414
440	326	413
441	326	412
442	326	411
443	327	409
444	327	408
445	328	407
446	328	406
447	329	405
448	329	404
449	329	403
450	330	402
451	330	401
452	331	400
453	331	398
454	332	397
455	332	396
456	333	395
457	333	394
458	334	393
459	334	392
460	334	391
461	335	390
462	335	389
463	336	388
464	336	387
465	336	386
466	337	385
467	337	384
468	338	383
469	338	381
470	339	380
471	339	379
472	339	378
473	340	377
474	340	376
475	341	375
476	341	374
477	342	373
478	342	372
479	343	371
480	343	370
481	343	369
482	344	368
483	344	367
484	345	366
485	345	365
486	346	364
487	346	363
488	347	362
489	347	361
490	347	360
491	348	359
492	348	358
493	349	357
494	349	356
495	349	355
496	350	354
497	350	353
498	351	352
499	351	351
500	352	350
501	352	349
502	353	348
503	353	347
504	353	346
505	354	346
506	355	345
507	355	344
508	356	343
509	356	342
510	357	341
511	357	340
512	357	339
513	358	338
514	358	337
515	359	336
516	359	335
517	360	335
518	360	334
519	360	333
520	361	332
521	361	331
522	362	330
523	362	329
524	362	328
525	363	327
526	363	326
527	364	325
528	364	324
529	365	323
530	365	322
531	365	321
532	366	321
533	367	320
534	367	319
535	368	318
536	368	317
537	368	316
538	369	315
539	369	315
540	370	314
541	370	313
542	371	312
543	371	311
544	372	310
545	372	309
546	372	308
547	373	308
548	373	307
549	374	306
550	374	305
551	375	304
552	375	303
553	376	302
554	376	301
555	376	300
556	377	300
557	377	299
558	378	298
559	378	297
560	379	296
561	379	295
562	379	294
563	380	294
564	380	293
565	381	292
566	381	291
567	382	290
568	382	289
569	383	288
570	383	288
571	383	287
572	384	286
573	384	285
574	385	284
575	385	283
576	386	283
577	386	282
578	386	281
579	387	280
580	387	279
581	388	278
582	388	277
583	389	277
584	389	276
585	389	275
586	390	274
587	390	273
588	391	273
589	391	272
590	392	271
591	392	270
592	393	269
593	393	269
594	394	268
595	394	267
596	394	266
597	395	265
598	395	264
599	396	264
600	396	263
601	397	262
602	397	261
603	397	260
604	398	260
605	398	259
606	399	258
607	399	257
608	400	256
609	400	256
610	400	255
611	401	254
612	401	253
613	402	252
614	402	252
615	403	251
616	403	250
617	404	249
618	404	249
619	405	248
620	405	247
621	406	246
622	406	246
623	407	245
624	407	244
625	408	243
626	408	242
627	408	242
628	409	241
629	409	240
630	410	239
631	410	239
632	411	238
633	411	237
634	412	236
635	412	236
636	412	235
637	413	234
638	413	233
639	414	232
640	414	232
641	415	231
642	415	230
643	416	230
644	416	229
645	417	228
646	417	227
647	417	226
648	418	226
649	418	225
650	419	224
651	419	223
652	420	223
653	420	222
654	420	221
655	421	220
656	421	220
657	422	219
658	422	218
659	422	217
660	423	217
661	423	216
662	424	215
663	424	214
664	425	214
665	425	213
666	425	212
667	426	211
668	426	211
669	427	210
670	427	209
671	428	209
672	428	208
673	429	207
674	429	206
675	429	206
676	430	205
677	430	204
678	431	203
679	431	203
680	432	202
681	432	201
682	432	200
683	433	200
684	433	199
685	434	198
686	434	197
687	434	197
688	435	196
689	435	195
690	436	195
691	436	194
692	437	193
693	437	192
694	438	192
695	438	191
696	439	190
697	439	190
698	439	189
699	440	188
700	440	188
701	441	187
702	441	186
703	442	185
704	442	185
705	443	184
706	443	183
707	443	183
708	444	182
709	444	181
710	445	180
711	445	180
712	446	179
713	446	178
714	446	178
715	447	177
716	447	176
717	448	176
718	448	175
719	448	174
720	449	173
721	449	173
722	450	172
723	450	171
724	451	171
725	451	170
726	452	169
727	452	169
728	453	168
729	453	167
730	454	167
731	454	166
732	454	165
733	455	165
734	455	164
735	456	163
736	456	162
737	457	162
738	457	161
739	457	160
740	458	160
741	458	159
742	459	158
743	459	158
744	459	157
745	460	156
746	460	156
747	461	155
748	461	154
749	462	154
750	462	153
751	463	152
752	463	152
753	464	151
754	464	150
755	465	150
756	465	149
757	465	148
758	466	148
759	466	147
760	467	146
761	467	146
762	468	145
763	468	144
764	468	144
765	469	143
766	469	142
767	470	142
768	470	141
769	471	140
770	471	140
771	472	139
772	472	138
773	473	138
774	473	137
775	474	136
776	474	136
777	475	135
778	475	135
779	476	134
780	476	133
781	477	133
782	477	132
783	478	131
784	478	131
785	479	130
786	479	129
787	479	129
788	480	128
789	480	127
790	481	127
791	481	126
792	482	125
793	482	125
794	482	124
795	483	123
796	483	123
797	484	122
798	484	121
799	485	121
800	485	120
801	486	120
802	486	119
803	487	118
804	487	118
805	488	117
806	488	116
807	489	116
808	489	115
809	490	114
810	490	114
811	491	113
812	491	113
813	491	112
814	492	111
815	492	111
816	493	110
817	493	109
818	494	109
819	494	108
820	495	107
821	495	107
822	496	106
823	496	106
824	497	105
825	497	104
826	498	104
827	498	103
828	499	103
829	499	102
830	500	101
831	500	101
832	501	100
833	501	99
834	502	99
835	502	98
836	502	97
837	503	97
838	503	96
839	504	96
840	504	95
841	504	94
842	505	94
843	505	93
844	506	92
845	506	92
846	507	91
847	507	90
848	508	90
849	508	89
850	508	89
851	509	88
852	510	87
853	510	87
854	510	86
855	511	86
856	511	85
857	512	84
858	512	84
859	513	83
860	513	82
861	514	82
862	514	81
863	514	81
864	515	80
865	515	79
866	516	79
867	516	78
868	517	77
869	517	77
870	517	76
871	518	76
872	518	75
873	519	74
874	519	74
875	520	73
876	520	73
877	520	72
878	521	71
879	522	71
880	522	70
881	523	69
882	523	69
883	524	68
884	524	68
885	524	67
886	525	66
887	525	66
888	526	65
889	526	65
890	527	64
891	527	63
892	527	63
893	528	62
894	528	62
895	529	61
896	529	60
897	530	60
898	530	59
899	530	58
900	531	58
901	531	57
902	532	57
903	532	56
904	532	55
905	533	55
906	533	54
907	534	54
908	534	53
909	535	52
910	535	52
911	536	51
912	536	51
913	537	50
914	537	49
915	538	49
916	538	48
917	538	48
918	539	47
919	539	46
920	540	46
921	540	45
922	541	45
923	541	44
924	541	43
925	542	43
926	542	42
927	543	42
928	543	41
929	544	40
930	544	40
931	544	39
932	545	39
933	545	38
934	546	37
935	546	37
936	547	36
937	547	36
938	548	35
939	548	35
940	549	34
941	549	33
942	549	33
943	550	32
944	550	32
945	551	31
946	551	30
947	552	30
948	552	29
949	552	29
950	553	28
951	553	27
952	554	27
953	554	26
954	555	26
955	555	25
956	555	24
957	556	24
958	556	23
959	557	23
960	557	22
961	558	22
962	558	21
963	559	20
964	559	20
965	559	19
966	560	19
967	560	18
968	561	17
969	561	17
970	562	16
971	562	16
972	563	15
973	563	15
974	563	14
975	564	13
976	564	13
977	565	12
978	565	12
979	565	11
980	566	10
981	566	10
982	567	9
983	567	9
984	568	8
985	568	8
986	568	7
987	569	6
988	569	6
989	570	5
990	570	5
991	571	4
992	571	4
993	572	3
994	572	2
995	572	2
996	573	1
997	573	1
998	574	0
999	574	0
